q_id, query, is_relevant, rel_words
ST_001, ignition interlock devices, No, 
CT_001, ignition interlock devices, No, 
ST_002, Zündschloss geräte, Yes, immobilizer: vehicle: theft: transponder: code: ignition: smartra: intelligent: antenna: engine: electronics: system: signal
CT_002, Zündschloss geräte, No, 
ST_003, Anti lock braking system, Yes, antiblockiersystem (antiblocking system): räder (wheels): bremsen (braking)
CT_003, Anti lock braking system, Yes, antiblockiersystem (anti-lock braking system): sicheren (safe): bremsen (braking): verkürzte (shortened): bremswege (braking distances): sturzgefahr (risk of falling): bremsmanövern (braking maneuvers): abrupten (abrupt)
ST_004, Automotive night vision, No, 
CT_004, Automotive night vision, No, 
ST_005, Nachtsicht im Auto, No, 
CT_005, Nachtsicht im Auto, No, 
ST_006, Blind spot monitor, No, 
