q_id, query, is_relevant, rel_words
ST_011, Müdigkeitserkennung des Fahrers, Yes, monitoring: camera: drowsiness
CT_011, Müdigkeitserkennung des Fahrers, Yes, drowsiness: detection: sensors: steering-angle: sensor
ST_012, Hill descent control, No, acc: lässt (lets): ab (from): geschwindigkeit (speed): etwa (about): stundenkilometern (hourly kilometers): aktivieren (activate): unterstützt (assisted): fahrer (driver): überlandfahrten (overland drives): autobahn: variante (variant): stop: go: geschwindigkeiten (speeds): stundenkilometer (kilometers per hour): aktiv (active): gewählten (selected): abstand (distance): vorausfahrenden (ahead): fahrzeug (vehicle): niedriger (lower): einhalten (keep): selbsttätig (automatic): stillstand (standstill): abbremsen (slow down): weise (wise): dichtem (dense): verkehr (traffic): stau (traffic jam): entlasten (relieve)
CT_012, Hill descent control, Yes, hill: assist-technologie (assist technology): manövrieren (maneuvering): gefälle (downhill): assist: fahrzeugs (vehicle): brems- (brake)
ST_013, Bergabfahr kontrolle, No, sensors: data: functions: chassis: controllers: electronic: braking: systems
CT_013, Bergabfahr kontrolle, Yes, mountain: driving: oncoming: vehicles: obstruction: hidden: curve
ST_014, Intelligent speed adaptation, Yes, verkehrszeicheninformation (traffic sign information): gesetzlichen (legal): general: safety: regulation: gsr: intelligent: speed: limit: geschwindigkeitsbegrenzungen (speed limits)
CT_014, Intelligent speed adaptation, Yes, adaptive: abstands- (distance control): geschwindigkeitsregelung (speed control): verkehrsfluss (traffic flow)
ST_015, Intelligente Geschwindigkeitsanpassung, Yes, detection: speed: limitation: driver: limits: sign: optical: sla: intelligent: adapting: cruise: traffic: recognition: isa
CT_015, Intelligente Geschwindigkeitsanpassung, Yes, intelligent: speed: assistance: system: driver: feedback
ST_016, Spur zentrierung, Yes, circular: parking: meeting: room: run-up: acceleration: track: braking: maneuvers: lane: changes: driving: circle: slalom: markings: radii
CT_016, Spur zentrierung, No, lane: centering: assist: uses: multi: purpose: camera: generation: detect: boundaries: – (-): including: road: markings: structural: alongside: vehicle: compare: position: afterwards: system: aligns: keep: track: making: active: interventions: ensure: stays: center
