q_id, query, is_relevant, rel_words
ST_001, ignition interlock devices, No, elektrische (electric): automatische (automatic)
CT_001, ignition interlock devices, No, kühlmittel-schaltventile (coolant switching valves): steuern (control): kühlmitteldurchfluss (coolant flow): nebenkühlkreisläufen (auxiliary cooling circuits): antriebsstrangs (drive train): heizkreisläufen (heating circuits): fahrgastraums (passenger compartment)
CT_001, ignition interlock devices, No, kühlmittel-schaltventile (coolant switching valves): steuern (control): kühlmitteldurchfluss (coolant flow): nebenkühlkreisläufen (auxiliary cooling circuits): antriebsstrangs (drive train): heizkreisläufen (heating circuits): fahrgastraums (passenger compartment)
ST_002, Zündschloss geräte, No, electronic: immobilizer: secures: vehicle: theft: achieved: transponder: code: ignition: key: switched: read: smartra: smart: intelligent: communications: interface: using: antenna: valid: releases: engine: electronics: system: another: coded: signal: required: start
CT_002, Zündschloss geräte, No, 
ST_003, Anti lock braking system, Yes, antiblockiersystem (antiblocking system): abs: blockieren (blocking): räder (wheels): ermöglicht (enables): sicheres (safe): bremsen (braking)
CT_003, Anti lock braking system, Yes, antiblockiersystem (anti-lock braking system): hilft (helps): beim (with): sicheren (safe): bremsen (braking): sorgt (provides): verkürzte (shortened): bremswege (braking distances): verringerte (reduced): sturzgefahr (risk of falling): abrupten (abrupt): bremsmanövern (braking maneuvers)
ST_004, Automotive night vision, Yes, nutzt (uses): kamera (camera): oberseite (top): windschutzscheibe (windshield): lichtquellen (light sources): erkennen (detect): system: wechselt (changes): automatisch (automatically): lichtverhältnissen (lighting conditions): fahrzeugen (vehicles): straße (street): anzupassen (adapt): nutzungsdauer (service life): fernlichtes (high beam): optimieren (optimize): maximale (maximum): sicherheit (safety): gewährleisten (ensure)
CT_004, Automotive night vision, Yes, vision: system: besteht (consists): zentral (central): 360° (360 °): view: kameras (cameras): steuereinheit (control unit): ermöglicht (enables): dabei (while): trotz (despite): beschränkter (limited): sichtbereiche (viewing areas): rundumsicht (all-round view): feldmaschine (field machine): implement: umgebung (environment): zudem (also): bietet (offers): hochauflösende (high resolution): detaillierte (detailed): draufsicht (top view): fahrzeugs (vehicle): sicheres (safe): schnelles (fast): manövrieren (maneuvering): engsten (narrowest): gelände (terrain)
ST_005, Nachtsicht im Auto, Yes, indication: lamp: located: around: door: mirror: lights: system: detects: vehicle: blind: spot: area: driver: flicks: turn: signal: time: starts: flash: audible: warning: help: alert
CT_005, Nachtsicht im Auto, No, 
ST_006, Blind spot monitor, No, 
CT_006, Blind spot monitor, Yes, totwinkelwarner (blind spot warning): erkennt (detects): fahrzeuge (vehicles): schlecht (bad): einsehbaren (visible): bereichen (areas): warnt (warns): gefahr (danger): fahrer (driver): optischen (optical): signal
ST_007, Toter Winkel Monitor, No, driving: mode: activated: set: sensors: monitor: road: provide: vehicle: lidars: laser: scanners: frontal: radar: medium-range: corner: digital: cameras: 180° (180 °): belt
CT_007, Toter Winkel Monitor, No, 
