q_id, query, is_relevant, rel_words
ST_001, ignition interlock devices, Yes, estroller: system: bietet (offers): bosch: innovative: mikro-mobilitätslösung (micro-mobility solution): kinderwagen (stroller): elektrische (electric): antriebssystem (drive system): komponenten (components): unterstützungsfunktionen (support functions): motorunterstützung (motor support): bergabschieben (downhill pushing): automatische (automatic): bremsunterstützung (braking assistance): handhabung (handling): intuitiv (intuitive): schalter (switch): bluetooth: zugehörigen (associated): smartphone-app (smartphone app): verbunden (connected)
CT_001, ignition interlock devices, Yes, kühlmittel-schaltventile (coolant switching valves): steuern (control): kühlmitteldurchfluss (coolant flow): nebenkühlkreisläufen (auxiliary cooling circuits): antriebsstrangs (drive train): heizkreisläufen (heating circuits): fahrgastraums (passenger compartment)
ST_002, Zündschloss geräte, Yes, immobilizer: vehicle: transponder: code: ignition: key: switched: smart: intelligent: communications: interface: antenna: engine: electronics: system: signal
CT_002, Zündschloss geräte, No, conveyor: belts: special: transport: bulk: material: mobile: machinery
ST_003, Anti lock braking system, Yes, antiblockiersystem (antiblocking system): abs: blockieren (blocking): räder (wheels): bremsen (braking)
CT_003, Anti lock braking system, Yes, antiblockiersystem (anti-lock braking system): sicheren (safe): bremsen (braking): bremswege (braking distances): sturzgefahr (risk of falling): abrupten (abrupt): bremsmanövern (braking maneuvers)
ST_004, Automotive night vision, Yes, peugeot: kamera (camera): windschutzscheibe (windshield): lichtquellen (light sources): system: automatisch (automatically): abblend- (low beam): fernlicht (high beam): lichtverhältnissen (lighting conditions): fahrzeugen (vehicles): nutzungsdauer (service life): fernlichtes (high beam): sicherheit (safety)
CT_004, Automotive night vision, No, off-highway: vision: system: besteht (consists): zentral (central): 360° (360 °): view: full-hd: vier (four): kameras (cameras): steuereinheit (control unit): ermöglicht (enables): dabei (while): trotz (despite): beschränkter (limited): sichtbereiche (viewing areas): optimale (optimal): rundumsicht (all-round view): feldmaschine (field machine): implement: umgebung (environment): zudem (also): bietet (offers): hochauflösende (high resolution): detaillierte (detailed): draufsicht (top view): fahrzeugs (vehicle): sicheres (safe): schnelles (fast): manövrieren (maneuvering): engsten (narrowest): gelände (terrain): unterstützt (assisted)
ST_005, Nachtsicht im Auto, Yes, indication: lamp: mirror: lights: vehicle: blind: flash: audible: alert
CT_005, Nachtsicht im Auto, No, ’ (): typical: november: morning: cold: unpleasant: outside: visit: aunt: overdue: live: around: block: jumps: car: “: warm: enough: ”: asks: friendly: voice: like: warmer: feet: please: answers: sees: immediately: time: reached: freeway: entrance: already: feels: stress: rush: faded: away: feeling: good: nice: makes: long: journey: thought: could: caring
ST_006, Blind spot monitor, Yes, einparkhilfe (parking aid): peugeot: sw: 180°-videokamera (180 ° video camera): motorhaube (bonnet): parken (parking): touchscreen: kompaktlimousine (compact sedan): parksensoren (parking sensors)
CT_006, Blind spot monitor, Yes, totwinkelwarner (blind spot warning): warnt (warns): optischen (optical): signal
ST_007, Toter Winkel Monitor, Yes, autonomous: driving: sensors: 360° (360 °): surveillance: vehicle: lidars: long-range: laser: scanners: frontal: radar: digital: cameras: 180° (180 °): ultrasound
CT_007, Toter Winkel Monitor, No, steering-angle: sensor: fixed: onto: steering: shaft: hub: gear: wheel: transmits: rotary: movement: two: measuring: wheels: magnet: mounted: whose: field: changes: direction: accordance: rotational: gmr: element: located: detect: angle: position: analog: values: elements: converted: digital: information: directly: circuit: sent: microprocessor: via: serial: interface
ST_008, Collision avoidance system, Yes, automated: valet: fahrzeughersteller (vehicle manufacturer): automatisierte (automated): fahrerlebnis (driving experience): infrastruktur (infrastructure): sensorik (sensors): fußgänger (pedestrians): fahrweg (route): fahrzeug (vehicle): hindernis (obstacle)
CT_008, Collision avoidance system, Yes, anfahrinformationssystem (approach information system): kollisionen (collisions): verkehrsteilnehmern (road users)
